"id","bank_name","sort_code"
NBS bank                           ,NBS Bank                                                         ,"100100    "
National Bank                      ,National Bank                                                    ,"050015    "
Standard Bank                      ,Standard Bank                                                    ,"010000    "
Ecobank                            ,Ecobank                                                          ,"040000    "
CDH                                ,CDH                                                              ,"130001    "
Unayo Standard Bank                ,Unayo Standard Bank                                              ,"400000    "
FCB bank                           ,FCB bank                                                         ,"030006    "
Centenary Bank                     ,Centenary Bank                                                   ,"140000    "
FINCA                              ,FINCA                                                            ,"900118    "
VISION FUND                        ,VISION FUND                                                      ,"910117    "
